car_model,year_of_manufacture,price,modified_price,fuel
ritz,2014,5000.0,10000.0,Petrol
sx4,2013,7089.55223880597,14179.1,Diesel
ciaz,2017,10820.89552238806,21641.8,Petrol
wagon r,2011,4253.731343283582,8507.46,Petrol
swift,2014,6865.671641791044,13731.34,Diesel
vitara brezza,2018,13805.970149253732,27611.94,Diesel
ciaz,2015,10074.626865671642,20149.26,Petrol
s cross,2015,9701.492537313432,19402.98,Diesel
ciaz,2016,13059.701492537311,26119.4,Diesel
ciaz,2015,11119.402985074626,22238.8,Diesel
ritz,2012,4626.8656716418,9253.74,Diesel
ritz,2011,3507.4626865672,7014.92,Petrol
swift,2014,7388.0597014925,14776.12,Diesel
ertiga,2014,8955.223880597,17910.44,Diesel
dzire,2014,8208.9552238806,16417.92,Diesel
sx4,2011,4402.9850746269,8805.98,CNG
dzire,2015,6940.2985074627,13880.6,Petrol
800,2003,522.3880597015,1044.78,Petrol
alto k10,2016,4477.6119402985,8955.22,Petrol
sx4,2003,3358.2089552239,6716.42,Petrol
corolla altis,2013,10373.134328358208,20746.26,Petrol
etios cross,2015,6716.417910447762,13432.84,Petrol
fortuner,2014,27985.074626865673,55970.14,Diesel
fortuner,2015,35074.62686567164,70149.26,Diesel
fortuner,2017,49253.73134328358,98507.46,Diesel
etios liva,2014,7089.55223880597,14179.1,Diesel
innova,2017,29477.611940298506,58955.22,Petrol
fortuner,2010,13805.970149253732,27611.94,Diesel
corolla altis,2011,6492.537313432835,12985.08,Petrol
corolla altis,2016,21268.65671641791,42537.32,Petrol
alto 800,2017,4253.731343283582,8507.46,Petrol
ciaz,2015,10223.880597014926,20447.76,Diesel
ciaz,2015,11194.029850746268,22388.06,Petrol
ertiga,2015,9104.477611940298,18208.96,Petrol
dzire,2009,3358.208955223881,6716.42,Petrol
ertiga,2016,11567.164179104477,23134.32,Diesel
ertiga,2015,10820.89552238806,21641.8,Diesel
ertiga,2016,11567.164179104477,23134.32,Diesel
wagon r,2015,4850.746268656716,9701.5,CNG
sx4,2010,3955.223880597015,7910.44,Petrol
baleno,2016,8731.3432835821,17462.68,Petrol
alto k10,2014,3805.9701492537,7611.94,Petrol
sx4,2008,2910.447761194,5820.9,Petrol
dzire,2014,8208.9552238806,16417.92,Diesel
omni,2012,1865.671641791,3731.34,Petrol
ciaz,2014,11194.0298507463,22388.06,Petrol
ritz,2013,3955.223880597,7910.44,Petrol
wagon r,2006,1567.1641791045,3134.32,Petrol
ertiga,2015,8656.7164179104,17313.44,Petrol
ciaz,2017,11567.1641791045,23134.32,Petrol
etios liva,2014,5895.522388059701,11791.04,Diesel
corolla altis,2011,6716.417910447762,13432.84,Diesel
corolla altis,2013,11119.402985074626,22238.8,Petrol
etios liva,2011,3955.223880597015,7910.44,Petrol
etios cross,2014,7313.432835820897,14626.86,Diesel
etios g,2015,5895.522388059701,11791.04,Petrol
corolla altis,2013,8208.955223880597,16417.92,Petrol
corolla,2004,2238.805970149254,4477.62,Petrol
corolla altis,2010,7835.820895522388,15671.64,Petrol
fortuner,2012,21641.79104477612,43283.58,Diesel
alto k10,2016,4253.731343283582,8507.46,Petrol
ignis,2017,7313.432835820897,14626.86,Petrol
sx4,2011,6567.164179104479,13134.32,Petrol
alto k10,2014,3731.3432835820895,7462.68,Petrol
wagon r,2013,4328.358208955224,8656.72,Petrol
swift,2011,4477.611940298508,8955.22,Petrol
swift,2013,6194.029850746269,12388.06,Petrol
swift,2017,8955.223880597016,17910.44,Petrol
alto k10,2010,2910.4477611940297,5820.9,Petrol
ciaz,2015,11119.402985074626,22238.8,Diesel
fortuner,2012,22238.8059701493,44477.62,Diesel
fortuner,2015,34328.3582089552,68656.72,Diesel
innova,2017,26865.671641791,53731.34,Diesel
fortuner,2013,23880.5970149254,47761.2,Diesel
innova,2005,4104.4776119403,8208.96,Petrol
corolla altis,2009,5373.1343283582,10746.26,Petrol
etios cross,2015,6716.4179104478,13432.84,Petrol
corolla altis,2010,7089.552238806,14179.1,Petrol
etios g,2014,6119.4029850746,12238.8,Petrol
fortuner,2014,29835.8208955224,59671.64,Diesel
corolla altis,2016,21985.074626865673,43970.14,Diesel
etios gd,2015,7089.55223880597,14179.1,Diesel
innova,2017,34328.35820895522,68656.72,Diesel
innova,2015,18656.716417910447,37313.44,Diesel
innova,2005,5208.955223880597,10417.92,Diesel
camry,2006,3731.3432835820895,7462.68,Petrol
land cruiser,2010,52238.80597014925,104477.62,Diesel
corolla altis,2012,8805.970149253732,17611.94,Petrol
etios liva,2013,5149.253731343284,10298.5,Petrol
etios g,2014,7089.55223880597,14179.1,Petrol
